===================================================
FRONT SILHOUETTE PATHS (266 paths)
===================================================
ID: use2203_ref_path847                 | CenterX:   7.29 (range -24.8..39.4) | CenterY: 455.70 (range 351.9..559.5) | Source: use_group
ID: use2203_ref_path1211                | CenterX:  31.18 (range 4.2..58.2) | CenterY: 456.54 (range 340.2..572.9) | Source: use_group
ID: use2203_ref_path879                 | CenterX:  20.87 (range 13.2..28.6) | CenterY: 459.21 (range 367.6..550.8) | Source: use_group
ID: use2203_ref_path899                 | CenterX:  21.13 (range 13.6..28.6) | CenterY: 461.69 (range 370.6..552.7) | Source: use_group
ID: use2203_ref_path968                 | CenterX:  23.26 (range 11.6..35.0) | CenterY: 465.77 (range 369.3..562.2) | Source: use_group
ID: use2203_ref_path881                 | CenterX:  23.91 (range 11.9..36.0) | CenterY: 466.35 (range 367.1..565.6) | Source: use_group
ID: use2203_ref_path2345                | CenterX:  17.27 (range 6.3..28.2) | CenterY: 468.14 (range 379.4..556.9) | Source: use_group
ID: use2203_ref_path2349                | CenterX:  16.54 (range 5.2..27.9) | CenterY: 469.34 (range 383.8..554.9) | Source: use_group
ID: use2203_ref_path1182                | CenterX:  24.20 (range 20.0..28.5) | CenterY: 470.34 (range 388.6..552.1) | Source: use_group
ID: use2203_ref_path2353                | CenterX:  15.79 (range 4.4..27.2) | CenterY: 470.82 (range 387.2..554.5) | Source: use_group
ID: use2203_ref_path950                 | CenterX:  25.06 (range 7.8..42.3) | CenterY: 471.38 (range 377.9..564.8) | Source: use_group
ID: use2203_ref_path2357                | CenterX:  15.84 (range 3.6..28.1) | CenterY: 471.66 (range 389.0..554.4) | Source: use_group
ID: use2203_ref_path861                 | CenterX:  24.69 (range 18.5..30.9) | CenterY: 473.06 (range 378.7..567.4) | Source: use_group
ID: use2203_ref_path970                 | CenterX:   6.61 (range -18.9..32.2) | CenterY: 473.57 (range 390.7..556.4) | Source: use_group
ID: use2203_ref_path948                 | CenterX:  26.60 (range 14.3..38.9) | CenterY: 477.26 (range 393.2..561.3) | Source: use_group
ID: use2203_ref_path974                 | CenterX:   9.29 (range -13.4..31.9) | CenterY: 478.94 (range 402.7..555.2) | Source: use_group
ID: use2203_ref_path988                 | CenterX:  24.72 (range 16.5..33.0) | CenterY: 482.82 (range 408.3..557.4) | Source: use_group
ID: use2203_ref_path978                 | CenterX:   8.99 (range -15.3..33.2) | CenterY: 483.21 (range 410.9..555.5) | Source: use_group
ID: use1128_ref_path1100                | CenterX:  13.08 (range -29.9..56.1) | CenterY: 483.51 (range 385.1..581.9) | Source: use_path
ID: use2203_ref_path928                 | CenterX:  28.95 (range 21.7..36.3) | CenterY: 486.53 (range 414.4..558.6) | Source: use_group
ID: use2203_ref_path1012                | CenterX:   6.28 (range -19.4..31.9) | CenterY: 489.84 (range 420.8..558.8) | Source: use_group
ID: use2110_ref_path1286                | CenterX:  15.52 (range 1.9..29.2) | CenterY: 491.98 (range 426.9..557.0) | Source: use_group
ID: use2110_ref_path1516                | CenterX:   7.85 (range -12.7..28.4) | CenterY: 498.39 (range 439.5..557.3) | Source: use_group
ID: use2110_ref_path1512                | CenterX:   5.66 (range -18.3..29.6) | CenterY: 500.89 (range 445.8..556.0) | Source: use_group
ID: use2110_ref_path1307                | CenterX:  17.16 (range 0.6..33.7) | CenterY: 500.94 (range 428.4..573.5) | Source: use_group
ID: use2203_ref_path908                 | CenterX:  21.25 (range -2.2..44.7) | CenterY: 501.85 (range 450.4..553.3) | Source: use_group
